Date,Close,High,Low,Open,Volume
1980-12-12,0.09859664738178253,0.09902530466742138,0.09859664738178253,0.09859664738178253,469033600
1980-12-15,0.09345278143882751,0.09388143863924236,0.09345278143882751,0.09388143863924236,175884800
1980-12-16,0.08659356087446213,0.08702221242959864,0.08659356087446213,0.08702221242959864,105728000
1980-12-17,0.08873678743839264,0.08916544451097874,0.08873678743839264,0.08873678743839264,86441600
1980-12-18,0.0913095623254776,0.09173821403577524,0.0913095623254776,0.0913095623254776,73449600
1980-12-19,0.09688197821378708,0.09731063527168449,0.09688197821378708,0.09688197821378708,48630400
1980-12-22,0.10159725695848465,0.10202668128040271,0.10159725695848465,0.10159725695848465,37363200
1980-12-23,0.10588455945253372,0.10631321680720257,0.10588455945253372,0.10588455945253372,46950400
1980-12-24,0.11145704239606857,0.11188569964179715,0.11145704239606859,0.11145704239606859,48003200
1980-12-26,0.1217455267906189,0.1221741840794004,0.1217455267906189,0.1217455267906189,55574400
1980-12-29,0.12346018105745316,0.12388883847316773,0.12346018105745316,0.12346018105745316,93161600
1980-12-30,0.12045960873365402,0.12088825472613905,0.12045960873365402,0.12088825472613905,68880000
1980-12-31,0.11703029274940491,0.11745894989824691,0.11703029274940491,0.11745894989824691,35750400
1981-01-02,0.11831627041101456,0.11917358483667748,0.11831627041101456,0.11831627041101456,21660800
1981-01-05,0.11574435234069824,0.11617299811505666,0.11574435234069824,0.11617299811505666,35728000
1981-01-06,0.11059979349374771,0.11102845099368358,0.11059979349374771,0.11102845099368358,45158400
1981-01-07,0.10588455945253372,0.10631321680720257,0.10588455945253372,0.10631321680720257,55686400
1981-01-08,0.10374128818511963,0.10416993406222028,0.10374128818511963,0.10416993406222028,39827200
1981-01-09,0.10931378602981567,0.10974244334775723,0.10931378602981567,0.10931378602981567,21504000
1981-01-12,0.10845646262168884,0.10931376565070666,0.10845646262168884,0.10931376565070666,23699200
1981-01-13,0.10459853708744049,0.10502719418905825,0.10459853708744049,0.10502719418905825,23049600
1981-01-14,0.1050272062420845,0.10545586339289537,0.1050272062420845,0.1050272062420845,14291200
1981-01-15,0.10717050731182098,0.10802781038049342,0.10717050731182098,0.10717050731182098,14067200
1981-01-16,0.10631320625543594,0.10674186356755981,0.10631320625543594,0.10674186356755981,13395200
1981-01-19,0.11274301260709763,0.11317166989054613,0.11274301260709763,0.11274301260709763,41574400
1981-01-20,0.10931378602981567,0.10974244334775723,0.10931378602981567,0.10974244334775723,30083200
1981-01-21,0.11145704239606857,0.11231434544048735,0.11145704239606859,0.11145704239606859,15904000
1981-01-22,0.11274301260709763,0.11360032717399463,0.11274301260709763,0.11274301260709763,35548800
1981-01-23,0.11231439560651779,0.11317171048090076,0.11231439560651779,0.11274305304370928,11222400
1981-01-26,0.11059979349374771,0.11102845099368358,0.11059979349374771,0.11102845099368358,24640000
1981-01-27,0.10974240303039551,0.11059970590428085,0.10974240303039551,0.11059970590428085,23699200
1981-01-28,0.10631320625543594,0.10674186356755981,0.10631320625543594,0.10674186356755981,28156800
1981-01-29,0.10245530307292938,0.10288396034209572,0.10245530307292938,0.10288396034209572,43904000
1981-01-30,0.09688197821378708,0.09773929232958188,0.09688197821378708,0.09773929232958188,46188800
1981-02-02,0.0913095623254776,0.09173821403577524,0.0913095623254776,0.09173821403577524,23766400
1981-02-03,0.09473875164985657,0.09516740314635914,0.09473875164985657,0.09473875164985657,19152000
1981-02-04,0.09816797822713852,0.09859662396392956,0.09816797822713852,0.09816797822713852,27865600
1981-02-05,0.09816797822713852,0.09902528114775729,0.09816797822713852,0.09816797822713852,7929600
1981-02-06,0.09859664738178253,0.09902530466742138,0.09859664738178253,0.09859664738178253,13865600
1981-02-09,0.09345278143882751,0.09431009011613864,0.09345278143882751,0.09431009011613864,16755200
1981-02-10,0.09345278143882751,0.09388143863924236,0.09345278143882751,0.09345278143882751,18345600
1981-02-11,0.090452179312706,0.09088083067294132,0.090452179312706,0.09088083067294132,13843200
1981-02-12,0.08959412574768066,0.09002354991477883,0.08959412574768066,0.09002354991477883,14560000
1981-02-13,0.08745088428258896,0.08830819325925844,0.08745088428258896,0.08830819325925844,11155200
1981-02-17,0.08959412574768066,0.09002354991477883,0.08959412574768066,0.08959412574768066,12275200
1981-02-18,0.09345278143882751,0.09431009011613864,0.09345278143882751,0.09345278143882751,19241600
1981-02-19,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08830816595128863,22310400
1981-02-20,0.08316431939601898,0.08359297664301059,0.08316431939601898,0.08359297664301059,24371200
1981-02-23,0.08445026725530624,0.0848789244391814,0.08445026725530624,0.08445026725530624,14112000
1981-02-24,0.08144968003034592,0.08230698857109091,0.08144968003034592,0.08230698857109091,16979200
1981-02-25,0.08659356087446213,0.08702221242959864,0.08659356087446213,0.08659356087446213,19488000
1981-02-26,0.08787950873374939,0.08830816595128863,0.08787950873374939,0.08787950873374939,10841600
1981-02-27,0.09088081866502762,0.09173812699574074,0.09088081866502762,0.09088081866502762,14761600
1981-03-02,0.0913095623254776,0.09173821403577524,0.0913095623254776,0.0913095623254776,11760000
